Diagnostico_Codigo;Diagnostico_Desc
J200;BRONQUITIS AGUDA DEBIDA A MYCOPLASMA PNEUMONIAE
Z359;SUPERVISIÓN DE EMBARAZO DE ALTO RIESGO, SIN OTRA ESPECIFICACIÓN
H353;DEGENERACIÓN DE LA MÁCULA Y DEL POLO POSTERIOR DEL OJO
N390;INFECCIÓN DE VÍAS URINARIAS, SITIO NO ESPECIFICADO
D049;CARCINOMA IN SITU DE LA PIEL, SITIO NO ESPECIFICADO
S903;CONTUSIÓN DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL PIE
H401;GLAUCOMA PRIMARIO DE ÁNGULO ABIERTO
S610;HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)
K20X;ESOFAGITIS
M511;TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA
Z008;OTROS EXÁMENES GENERALES
M431;ESPONDILOLISTESIS
L501;URTICARIA IDIOPÁTICA
N645;OTROS SIGNOS Y SÍNTOMAS RELATIVOS A LA MAMA
J050;LARINGITIS OBSTRUCTIVA, AGUDA [CRUP]
N850;HIPERPLASIA DE GLÁNDULA DEL ENDOMETRIO:
N359;ESTRECHEZ URETRAL, NO ESPECIFICADA
Z349;SUPERVISIÓN DE EMBARAZO NORMAL NO ESPECIFICADO
D849;INMUNODEFICIENCIA, NO ESPECIFICADA
R51X;CEFALEA
J180;BRONCONEUMONÍA, NO ESPECIFICADA
Z019;EXAMEN ESPECIAL NO ESPECIFICADO
B976;PARVOVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS
B373;CANDIDIASIS DE LA VULVA Y DE LA VAGINA (N77.1*)
K589;SÍNDROME DEL COLON IRRITABLE SIN DIARREA
L208;OTRAS DERMATITIS ATÓPICAS
L039;CELULITIS DE SITIO NO ESPECIFICADO
Z768;PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD EN OTRAS CIRCUNSTANCIASESPECIFICADAS
S233;ESGUINCES Y TORCEDURAS DE COLUMNA TORÁCICA
I861;VÁRICES ESCROTALES
M751;SÍNDROME DEL MANGUITO ROTATORIO
G501;DOLOR FACIAL ATÍPICO
B349;INFECCIÓN VIRAL, NO ESPECIFICADA
N433;HIDROCELE, NO ESPECIFICADO
S631;LUXACIÓN DE DEDOS DE LA MANO
R102;DOLOR PÉLVICO Y PERINEAL
L029;ABSCESO CUTÁNEO, FURÚNCULO Y CARBUNCO DE SITIO NO ESPECIFICADO
Z950;PRESENCIA DE MARCAPASO CARDÍACO
E139;DIABETES MELLITUS ESPECIFICADA, SIN MENCIÓN DE COMPLICACIÓN
L408;OTRAS PSORIASIS
M150;(OSTEO)ARTROSIS PRIMARIA GENERALIZADA
H901;HIPOACUSIA CONDUCTIVA, UNILATERAL CON AUDICIÓN IRRESTRICTA CONTRALATERAL
S936;ESGUINCES Y TORCEDURAS DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS DEL PIE
K359;APENDICITIS AGUDA, NO ESPECIFICADA
H258;OTRAS CATARATAS SENILES
K429;HERNIA UMBILICAL SIN OBSTRUCCIÓN NI GANGRENA
K580;SÍNDROME DEL COLON IRRITABLE CON DIARREA
M331;OTRAS DERMATOMIOSITIS
L720;QUISTE EPIDÉRMICO
H041;OTROS TRASTORNOS DE LA GLÁNDULA LAGRIMAL
N47X;PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS
S430;LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO
M545;LUMBAGO NO ESPECIFICADO
Z719;CONSULTA, NO ESPECIFICADA
D319;TUMOR BENIGNO DEL OJO, PARTE NO ESPECIFICADA
R13X;DISFAGIA
H178;OTRAS OPACIDADES O CICATRICES DE LA CÓRNEA
H259;CATARATA SENIL, NO ESPECIFICADA
H025;OTROS TRASTORNOS FUNCIONALES DEL PÁRPADO
K769;ENFERMEDAD DEL HÍGADO, NO ESPECIFICADA
Z348;SUPERVISIÓN DE OTROS EMBARAZOS NORMALES
R104;OTROS DOLORES ABDOMINALES Y LOS NO ESPECIFICADOS
L931;LUPUS ERITEMATOSO CUTÁNEO SUBAGUDO
L308;OTRAS DERMATITIS ESPECIFICADAS
C80X;TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
S826;FRACTURA DEL MALÉOLO EXTERNO
H251;CATARATA SENIL NUCLEAR
K210;ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS
S525;FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO
L988;OTROS TRASTORNOS ESPECIFICADOS DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO
J451;ASMA NO ALÉRGICA
L570;QUERATOSIS ACTÍNICA
J039;AMIGDALITIS AGUDA, NO ESPECIFICADA
D391;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO
M950;DEFORMIDAD ADQUIRIDA DE LA NARIZ
N40X;HIPERPLASIA DE LA PRÓSTATA
N648;OTROS TRASTORNOS ESPECIFICADOS DE LA MAMA
L280;LIQUEN SIMPLE CRÓNICO
N800;ENDOMETRIOSIS DEL ÚTERO
E113;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES OFTÁLMICAS
S602;CONTUSIÓN DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO
S819;HERIDA DE LA PIERNA, PARTE NO ESPECIFICADA
S835;ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA
K011;DIENTES IMPACTADOS
N907;QUISTE DE LA VULVA
D251;LEIOMIOMA INTRAMURAL DEL ÚTERO
S923;FRACTURA DE HUESO DEL METATARSO
K038;OTRAS ENFERMEDADES ESPECIFICADAS DE LOS TEJIDOS DUROS DE LOS DIENTES
Z000;EXAMEN MÉDICO GENERAL
F009;DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9+)
B023;HERPES ZOSTER OCULAR
R040;EPISTAXIS
N329;TRASTORNO DE LA VEJIGA, NO ESPECIFICADO
I471;TAQUICARDIA SUPRAVENTRICULAR
Z302;ESTERILIZACIÓN
E079;TRASTORNO DE LA GLÁNDULA TIROIDES, NO ESPECIFICADO
K862;QUISTE DEL PÁNCREAS
S913;HERIDA DE OTRAS PARTES DEL PIE
Q501;QUISTE EN DESARROLLO DEL OVARIO
N410;PROSTATITIS AGUDA
C64X;TUMOR MALIGNO DEL RIÑÓN, EXCEPTO DE LA PELVIS RENAL
D233;TUMOR BENIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
D043;CARCINOMA IN SITU DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
K293;GASTRITIS CRÓNICA SUPERFICIAL
C829;LINFOMA NO HODGKIN FOLICULAR, SIN OTRA ESPECIFICACIÓN
E248;OTROS TIPOS DE SÍNDROME DE CUSHING
D469;SÍNDROME MIELODISPLÁSICO, SIN OTRA ESPECIFICACIÓN
A09X;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
L608;OTROS TRASTORNOS DE LAS UÑAS
C414;TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y CÓCCIX
E038;OTROS HIPOTIROIDISMOS ESPECIFICADOS
S801;CONTUSIÓN DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA PIERNA
L980;GRANULOMA PIÓGENO
S900;CONTUSIÓN DEL TOBILLO
L910;CICATRIZ QUELOIDE
M658;OTRAS SINOVITIS Y TENOSINOVITIS
L639;ALOPECIA AREATA, NO ESPECIFICADA
M464;DISCITIS, NO ESPECIFICADA
R509;FIEBRE, NO ESPECIFICADA
Q540;HIPOSPADIAS DEL GLANDE
R931;HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DEL CORAZÓN Y DE LA CIRCULACIÓN CORONARIA
S202;CONTUSIÓN DEL TÓRAX
M201;HALLUX VALGUS (ADQUIRIDO)
D25X;LEIOMIOMA DEL ÚTERO
Q665;PIE PLANO CONGÉNITO
H028;OTROS TRASTORNOS ESPECIFICADOS DEL PÁRPADO
R238;OTROS CAMBIOS DE LA PIEL Y LOS NO ESPECIFICADOS
H408;OTROS GLAUCOMAS
Z123;EXAMEN DE PESQUISA ESPECIAL PARA TUMOR DE LA MAMA
T12X;FRACTURA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO
M238;OTROS TRASTORNOS INTERNOS DE LA RODILLA
L709;ACNÉ, NO ESPECIFICADO
D210;TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO
S901;CONTUSIÓN DE DEDO(S) DEL PIE SIN DAÑO DE LA(S) UÑA(S)
H023;BLEFAROCALASIA
H932;OTRAS PERCEPCIONES AUDITIVAS ANORMALES
H906;HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, BILATERAL
N63X;MASA NO ESPECIFICADA EN LA MAMA
S420;FRACTURA DE LA CLAVÍCULA
M819;OSTEOPOROSIS NO ESPECIFICADA, SIN FRACTURA PATOLÓGICA
R938;HALLAZGOS ANORMALES EN DIAGNÓSTICO POR IMAGEN DE OTRAS ESTRUCTURAS ESPECIFICADAS DEL CUERPO
T841;COMPLICACIÓN MECÁNICA DE DISPOSITIVO DE FIJACIÓN INTERNA DE HUESOS DE UN MIEMBRO
D229;NEVO MELANOCÍTICO, SITIO NO ESPECIFICADO
M719;BURSOPATÍA, NO ESPECIFICADA
E215;TRASTORNO DE LA GLÁNDULA PARATIROIDES, NO ESPECIFICADO
S003;TRAUMATISMO SUPERFICIAL DE LA NARIZ
H270;AFAQUIA
N760;VAGINITIS AGUDA
T232;QUEMADURA DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO
N179;INSUFICIENCIA RENAL AGUDA, NO ESPECIFICADA
Z988;OTROS ESTADOS POSTQUIRÚRGICOS ESPECIFICADOS
M654;TENOSINOVITIS DE ESTILOIDES RADIAL [DE QUERVAIN]
B232;ENFERMEDAD POR VIH, RESULTANTE EN ANORMALIDADES INMUNOLÓGICAS Y HEMATOLÓGICAS, NO CLASIFICADAS EN OTRA PARTE
G35X;ESCLEROSIS MÚLTIPLE
F809;TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO
B150;HEPATITIS AGUDA TIPO A, CON COMA HEPÁTICO
M233;OTROS TRASTORNOS DE LOS MENISCOS
R11X;NÁUSEA Y VÓMITO
S930;LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO
Q432;OTROS TRASTORNOS FUNCIONALES CONGÉNITOS DEL COLON
J303;OTRAS RINITIS ALÉRGICAS
R060;DISNEA
R011;SOPLO CARDÍACO, NO ESPECIFICADO
K449;HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA
J90X;DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE
O912;MASTITIS NO PURULENTA ASOCIADA CON EL PARTO
M349;ESCLEROSIS SISTÉMICA, NO ESPECIFICADA
J159;NEUMONÍA BACTERIANA, NO ESPECIFICADA
J210;BRONQUIOLITIS AGUDA DEBIDA A VIRUS SINCITIAL RESPIRATORIO
E118;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES NO ESPECIFICADAS
H811;VÉRTIGO PAROXÍSTICO BENIGNO
H001;CALACIO [CHALAZIÓN]
N398;OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA URINARIO
H400;SOSPECHA DE GLAUCOMA
Z358;SUPERVISIÓN DE OTROS EMBARAZOS DE ALTO RIESGO
P229;DIFICULTAD RESPIRATORIA DEL RECIÉN NACIDO, NO ESPECIFICADA
Q659;DEFORMIDAD CONGÉNITA DE LA CADERA, NO ESPECIFICADA
T529;DISOLVENTES ORGÁNICOS, NO ESPECIFICADOS
S498;OTROS TRAUMATISMOS ESPECIFICADOS DEL HOMBRO Y DEL BRAZO
R001;BRADICARDIA, NO ESPECIFICADA
H604;COLESTEATOMA DEL OÍDO EXTERNO
T148;OTROS TRAUMATISMOS DE REGIÓN NO ESPECIFICADA DEL CUERPO
D097;CARCINOMA IN SITU DE OTROS SITIOS ESPECIFICADOS
Z860;HISTORIA PERSONAL DE OTROS TUMORES
R69X;CAUSAS DE MORBILIDAD DESCONOCIDAS Y NO ESPECIFICADAS
H681;OBSTRUCCIÓN DE LA TROMPA DE EUSTAQUIO
P220;SÍNDROME DE DIFICULTAD RESPIRATORIA DEL RECIÉN NACIDO
C323;TUMOR MALIGNO DEL CARTÍLAGO LARÍNGEO
W577;MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTRÓPODOS NO VENENOSOS, EN GRANJA
W530;MORDEDURA DE RATA, EN VIVIENDA
C73X;TUMOR MALIGNO DE LA GLÁNDULA TIROIDES
T58X;EFECTO TÓXICO DEL MONÓXIDO DE CARBONO
M255;DOLOR EN ARTICULACIÓN
T212;QUEMADURA DEL TRONCO, DE SEGUNDO GRADO
A419;SEPTICEMIA, NO ESPECIFICADA
G401;EPILEPSIA Y SÍNDROMES EPILÉPTICOS SINTOMÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES) (PARCIALES) Y CON ATAQUES PARCIALES SIMPLES
E141;DIABETES MELLITUS, NO ESPECIFICADA, CON CETOACIDOSIS
J029;FARINGITIS AGUDA, NO ESPECIFICADA
N851;HIPERPLASIA ADENOMATOSA DEL ENDOMETRIO
M211;DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE
M753;TENDINITIS CALCIFICANTE DEL HOMBRO
C61X;TUMOR MALIGNO DE LA PRÓSTATA
B24X;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH], SIN OTRA ESPECIFICACIÓN
N61X;TRASTORNOS INFLAMATORIOS DE LA MAMA
G619;POLINEUROPATÍA INFLAMATORIA, NO ESPECIFICADA
K296;OTRAS GASTRITIS
S800;CONTUSIÓN DE LA RODILLA
L411;PITIRIASIS LIQUENOIDE CRÓNICA
S400;CONTUSIÓN DEL HOMBRO Y DEL BRAZO
E871;HIPOSMOLARIDAD E HIPONATREMIA
S810;HERIDA DE LA RODILLA
J019;SINUSITIS AGUDA, NO ESPECIFICADA
H652;OTITIS MEDIA CRÓNICA SEROSA
C679;TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA
H358;OTROS TRASTORNOS ESPECIFICADOS DE LA RETINA
E078;OTROS TRASTORNOS ESPECIFICADOS DE LA GLÁNDULA TIROIDES
J040;LARINGITIS AGUDA
L270;ERUPCIÓN CUTÁNEA GENERALIZADA DEBIDA A DROGAS Y MEDICAMENTOS
D177;TUMOR BENIGNO LIPOMATOSO DE OTROS SITIOS ESPECIFICADOS
C505;TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA
N950;HEMORRAGIA POSTMENOPÁUSICA
K039;ENFERMEDAD NO ESPECIFICADA DE LOS TEJIDOS DENTALES DUROS
C720;TUMOR MALIGNO DE LA MÉDULA ESPINAL
K800;CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA
F332;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SÍNTOMAS PSICÓTICOS
D180;HEMANGIOMA, DE CUALQUIER SITIO
H040;DACRIOADENITIS
O821;PARTO POR CESÁREA DE EMERGENCIA
M629;TRASTORNO MUSCULAR, NO ESPECIFICADO
K219;ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS
G439;MIGRAÑA, NO ESPECIFICADA
Z038;OBSERVACIÓN POR SOSPECHA DE OTRAS ENFERMEDADES Y AFECCIONES
G610;SÍNDROME DE GUILLAIN-BARRÉ
Z300;CONSEJO Y ASESORAMIENTO GENERAL SOBRE LA ANTICONCEPCIÓN
K145;LENGUA PLEGADA
O149;PREECLAMPSIA, NO ESPECIFICADA
S600;CONTUSIÓN DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)
H522;ASTIGMATISMO
M350;SÍNDROME SECO [SJÖGREN]
S019;HERIDA DE LA CABEZA, PARTE NO ESPECIFICADA
P059;RETARDO DEL CRECIMIENTO FETAL, NO ESPECIFICADO
I679;ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA
K638;OTRAS ENFERMEDADES ESPECIFICADAS DEL INTESTINO
J189;NEUMONÍA, NO ESPECIFICADA
C431;MELANOMA MALIGNO DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL
S998;OTROS TRAUMATISMOS DEL PIE Y DEL TOBILLO, ESPECIFICADOS
J328;OTRAS SINUSITIS CRÓNICAS
A90;FIEBRE DEL DENGUE [DENGUE CLÁSICO]
L439;LIQUEN PLANO, NO ESPECIFICADO
D235;TUMOR BENIGNO DE LA PIEL DEL TRONCO
N23X;CÓLICO RENAL, NO ESPECIFICADO
N811;CISTOCELE
T887;EFECTO ADVERSO NO ESPECIFICADO DE DROGA O MEDICAMENTO
C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA
N883;INCOMPETENCIA DEL CUELLO DEL ÚTERO
N945;DISMENORREA SECUNDARIA
Q610;QUISTE RENAL SOLITARIO CONGÉNITO
M779;ENTESOPATÍA, NO ESPECIFICADA
J209;BRONQUITIS AGUDA, NO ESPECIFICADA
M705;OTRAS BURSITIS DE LA RODILLA
H161;OTRAS QUERATITIS SUPERFICIALES SIN CONJUNTIVITIS
K318;OTRAS ENFERMEDADES ESPECIFICADAS DEL ESTÓMAGO Y DEL DUODENO
J350;AMIGDALITIS CRÓNICA
B081;MOLUSCO CONTAGIOSO
K743;CIRROSIS BILIAR PRIMARIA
J450;ASMA PREDOMINANTEMENTE ALÉRGICA
N189;INSUFICIENCIA RENAL CRÓNICA, NO ESPECIFICADA
B977;PAPILOMAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS
F419;TRASTORNO DE ANSIEDAD, NO ESPECIFICADO
G408;OTRAS EPILEPSIAS
O922;OTROS TRASTORNOS DE LA MAMA Y LOS NO ESPECIFICADOS ASOCIADOS CON EL PARTO
A064;ABSCESO AMEBIANO DEL HÍGADO
K922;HEMORRAGIA GASTROINTESTINAL, NO ESPECIFICADA
D250;LEIOMIOMA SUBMUCOSO DEL ÚTERO
G560;SÍNDROME DEL TÚNEL CARPIANO
K605;FÍSTULA ANORRECTAL
N870;DISPLASIA CERVICAL LEVE
I872;INSUFICIENCIA VENOSA (CRÓNICA) (PERIFÉRICA)
S922;FRACTURA DE OTRO(S) HUESO(S) DEL TARSO
K402;HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA
S899;TRAUMATISMO DE LA PIERNA, NO ESPECIFICADO
S929;FRACTURA DEL PIE, NO ESPECIFICADA
M321;LUPUS ERITEMATOSO SISTÉMICO CON COMPROMISO DE ÓRGANOS O SISTEMAS
S698;OTROS TRAUMATISMOS ESPECIFICADOS DE LA MUÑECA Y DE LA MANO
G409;EPILEPSIA, TIPO NO ESPECIFICADO
M919;OSTEOCONDROSIS JUVENIL DE LA CADERA Y DE LA PELVIS, SIN OTRA ESPECIFICACIÓN
O044;ABORTO MÉDICO, INCOMPLETO, SIN COMPLICACIÓN
S435;ESGUINCES Y TORCEDURAS DE LA ARTICULACIÓN ACROMIOCLAVICULAR
B268;PAROTIDITIS INFECCIOSA CON OTRAS COMPLICACIONES
J15X;NEUMONIA BACTERIANA NO CLASIFICADA EN OTRA PARTE
S824;FRACTURA DEL PERONÉ SOLAMENTE
S822;FRACTURA DE LA DIÁFISIS DE LA TIBIA
N428;OTROS TRASTORNOS ESPECIFICADOS DE LA PRÓSTATA
R222;TUMEFACCIÓN, MASA O PROMINENCIA LOCALIZADA EN EL TRONCO
G544;TRASTORNOS DE LA RAÍZ LUMBOSACRA, NO CLASIFICADOS EN OTRA PARTE
E02X;HIPOTIROIDISMO SUBCLÍNICO POR DEFICIENCIA DE YODO
H700;MASTOIDITIS AGUDA
E041;NÓDULO TIROIDEO SOLITARIO NO TÓXICO
O021;ABORTO RETENIDO
M773;ESPOLÓN CALCÁNEO
Q840;ALOPECIA CONGÉNITA
L814;OTROS TIPOS DE HIPERPIGMENTACIÓN MELANODÉRMICA
M869;OSTEOMIELITIS, NO ESPECIFICADA
C835;LINFOMA NO HODGKIN LINFOBLÁSTICO (DIFUSO)
H521;MIOPÍA
M531;SÍNDROME CERVICOBRAQUIAL
S099;TRAUMATISMO DE LA CABEZA, NO ESPECIFICADO
J631;FIBROSIS (DEL PULMÓN) DEBIDA A BAUXITA
L729;QUISTE FOLICULAR DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO, SIN OTRA ESPECIFICACIÓN
D225;NEVO MELANOCÍTICO DEL TRONCO
R55;SÍNCOPE Y COLAPSO
T310;QUEMADURAS QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO
T020;FRACTURAS QUE AFECTAN LA CABEZA CON EL CUELLO
D259;LEIOMIOMA DEL ÚTERO, SIN OTRA ESPECIFICACIÓN
O210;HIPEREMESIS GRAVÍDICA LEVE
H919;HIPOACUSIA, NO ESPECIFICADA
Q386;OTRAS MALFORMACIONES CONGÉNITAS DE LA BOCA
S601;CONTUSIÓN DE DEDO(S) DE LA MANO CON DAÑO DE LA(S) UÑA(S)
M179;GONARTROSIS, NO ESPECIFICADA
H524;PRESBICIA
M774;METATARSALGIA
I781;NEVO, NO NEOPLÁSICO
S935;ESGUINCES Y TORCEDURAS DE DEDO(S) DEL PIE
H278;OTROS TRASTORNOS ESPECIFICADOS DEL CRISTALINO
D223;NEVO MELANOCÍTICO DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
L500;URTICARIA ALÉRGICA
C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMÓN, PARTE NO ESPECIFICADA
M765;TENDINITIS ROTULIANA
B029;HERPES ZOSTER SIN COMPLICACIONES
S720;FRACTURA DEL CUELLO DE FÉMUR
E117;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES MÚLTIPLES
N459;ORQUITIS, EPIDIDIMITIS Y ORQUIEPIDIDIMITIS SIN ABSCESO
C443;TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA
J219;BRONQUIOLITIS AGUDA, NO ESPECIFICADA
C629;TUMOR MALIGNO DEL TESTÍCULO, NO ESPECIFICADO
M151;NÓDULOS DE HEBERDEN (CON ARTROPATÍA)
H511;EXCESO E INSUFICIENCIA DE LA CONVERGENCIA OCULAR
L040;LINFADENITIS AGUDA DE CARA, CABEZA Y CUELLO
E149;DIABETES MELLITUS, NO ESPECIFICADA, SIN MENCIÓN DE COMPLICACIÓN
O800;PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE
Z010;EXAMEN DE OJOS Y DE LA VISIÓN
R490;DISFONÍA
P599;ICTERICIA NEONATAL, NO ESPECIFICADA
S018;HERIDA DE OTRAS PARTES DE LA CABEZA
R000;TAQUICARDIA, NO ESPECIFICADA
K420;HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA
N939;HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO ESPECIFICADA
A90X;FIEBRE DEL DENGUE [DENGUE CLÁSICO]
N302;OTRAS CISTITIS CRÓNICAS
R18X;ASCITIS
S837;TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA
S999;TRAUMATISMO DEL PIE Y DEL TOBILLO, NO ESPECIFICADO
S699;TRAUMATISMO NO ESPECIFICADO DE LA MUÑECA Y DE LA MANO
S710;HERIDA DE LA CADERA
J449;ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA
